cell_type,ID,color
Cardiomyocyte_A,aCM,#87addeff
Cardiomyocyte_V,vCM,#1266a1ff
Endocardial_cell_BA,baEndo,#fee1bdff
Endocardial_cell_A,aEndo,#f9b36dff
Endocardial_cell_V,vEndo,#ff7f0e
EC_Capillary,capEC,#ff9896
EC_Artery,artEC,#d62728
EC_Vein,venEC,#c5b0d5
EC_Lymphatic,lymphEC,#9467bd
Smooth_muscle_cell,SMC,#aeae1aff
Pericyte,PC,#dbdb8d
Epicardial_cell_A,aEpi,#98df8a
Epicardial_cell_V,vEpi,#2ca02c
Fibroblast,FB,#c49c94
Myofibroblast,myoFB,#8c564b
Granulocyte,NP,#fbf707ff
Monocyte,Mono,#fda3caff
Macrophage,Mac,#e15bb9ff
Dendritic_cell,DC,#c62a6eff
Mast_cell,Mast,#a0e6efff
B_cell,BC,#10bed1ff
T_cell,TC,#13ba95
NK_cell,NK,#0e735b
Neuronal_cell,NC,#8d8d8dff
Adipocyte,AC,#9effa6
Mesenchymal_cell,MC,#1de31dff
Erythrocyte,EC,#780516
Cycling,Cyc,#cdccccff
doublet,dblt,#555555ff
unknown,unk,#000000ff
