G1_S,G2_M,,,,,,,
Mcm5,Hmgb2,,,,,,,
Pcna,Cdk1,,,,,,,
Tyms,Nusap1,,,,,,,
Fen1,Ube2c,,,,,,,
Mcm2,Birc5,,,,,,,
Mcm4,Tpx2,,,,,,,
Rrm1,Top2a,,,,,,,
Ung,Ndc80,,,,,,,
Gins2,Cks2,,,,,,,
Mcm6,Nuf2,,,,,,,
Cdca7,Cks1b,,,,,,,
Dtl,Mki67,,,,,,,
Prim1,Tmpo,,,,,,,
Uhrf1,Cenpf,,,,,,,
Cenpu,Tacc3,,,,,,,
Hells,Pimreg,,,,,,,
Rfc2,Smc4,,,,,,,
Rpa2,Ccnb2,,,,,,,
Nasp,Ckap2l,,,,,,,
Rad51ap1,Ckap2,,,,,,,
Gmnn,Aurkb,,,,,,,
Wdr76,Bub1,,,,,,,
Slbp,Kif11,,,,,,,
Ccne2,Anp32e,,,,,,,
Ubr7,Tubb4b,,,,,,,
Pold3,Gtse1,,,,,,,
Msh2,Kif20b,,,,,,,
Atad2,Hjurp,,,,,,,
Rad51,Cdca3,,,,,,,
Rrm2,Jpt1,,,,,,,
Cdc45,Cdc20,,,,,,,
Cdc6,Ttk,,,,,,,
Exo1,Cdc25c,,,,,,,
Tipin,Kif2c,,,,,,,
Dscc1,Rangap1,,,,,,,
Blm,Ncapd2,,,,,,,
Casp8ap2,Dlgap5,,,,,,,
Usp1,Cdca2,,,,,,,
Clspn,Cdca8,,,,,,,
Pola1,Ect2,,,,,,,
Chaf1b,Kif23,,,,,,,
Brip1,Hmmr,,,,,,,
E2f8,Aurka,,,,,,,
,Psrc1,,,,,,,
,Anln,,,,,,,
,Lbr,,,,,,,
,Ckap5,,,,,,,
,Cenpe,,,,,,,
,Ctcf,,,,,,,
,Nek2,,,,,,,
,G2e3,,,,,,,
,Gas2l3,,,,,,,
,Cbx5,,,,,,,
,Cenpa,,,,,,,
